Date,Time,Category,Item,Qty,Price Point Name,Location
2024-11-30,19:57:20,Sweets,Candy,1,Skittles 92g,SOFMC TacoTacoTaco
2024-11-30,19:57:20,Sweets,Candy,1,Kit Kat 73g,SOFMC TacoTacoTaco
2024-11-30,19:57:20,Beer,Cans of Beer,1,Stanley Park Sunsetter,SOFMC TacoTacoTaco
2024-11-30,19:56:40,Sweets,Candy,1,Twizzlers 250g,SOFMC TacoTacoTaco
2024-11-30,19:55:30,NA Bev PST Exempt,Non-Alcoholic Beverages,1,Iced Tea,SOFMC TacoTacoTaco
2024-11-30,19:55:30,Snacks,Popcorn,2,Regular,SOFMC TacoTacoTaco
2024-11-30,19:55:30,NA Bev PST Exempt,Water,1,Aquafina 591ml,SOFMC TacoTacoTaco
2024-11-30,19:55:30,Snacks,Popcorn,1,Regular,SOFMC TacoTacoTaco
2024-11-30,19:55:28,Snacks,Chips,1,Miss Vickie's Salt & Vinegar,SOFMC ReMax Fan Deck
2024-11-30,19:55:28,NA Bev PST Exempt,Water,1,Aquafina 591ml,SOFMC Portable Stations
2024-11-30,19:54:50,Food,Tacos,1,Mixta (1:1:1 x Chicken:Pork:Beef),SOFMC TacoTacoTaco
2024-11-30,19:54:22,Beer,Draught Beer,1,Stanley Park Lager 12oz,SOFMC Portable Stations
2024-11-30,19:54:22,Beer,Draught Beer,1,Stanley Park Hazy IPA 12oz,SOFMC Portable Stations
2024-11-30,19:54:22,Beer,Draught Beer,1,Stanley Park Pale Ale 12oz,SOFMC Portable Stations
2024-11-30,19:54:03,"Wine, Cider & Coolers",Cider & Coolers,2,Ward's Cider,SOFMC Phillips Bar
2024-11-30,19:53:45,"Wine, Cider & Coolers",Cider & Coolers,1,Mott's Caesar,SOFMC Portable Stations
2024-11-30,19:53:45,Beer,Cans of Beer,1,Bud Light,SOFMC Portable Stations
2024-11-30,19:53:30,Food,COMBOS,1,Chicken Burger & Fries,SOFMC TacoTacoTaco
2024-11-30,19:53:30,Sweets,Churro,1,Regular,SOFMC TacoTacoTaco
2024-11-30,19:53:30,NA Bev,Bottle Pop,1,Pepsi,SOFMC TacoTacoTaco
2024-11-30,19:53:26,Beer,Draught Beer,1,Blue Buck 24oz,SOFMC Phillips Bar
2024-11-30,19:53:10,"Wine, Cider & Coolers",Cider & Coolers,1,Tempo Mango Peach,SOFMC Portable Stations
2024-11-30,19:53:10,Beer,Cans of Beer,1,Stanley Park Amber,SOFMC Portable Stations
2024-11-30,19:53:03,"Wine, Cider & Coolers",Cider & Coolers,2,Ward's Cider,SOFMC ReMax Fan Deck
2024-11-30,19:53:03,NA Bev PST Exempt,Water,1,Aquafina 591ml,SOFMC ReMax Fan Deck
2024-11-30,19:52:59,NA Bev PST Exempt,Non-Alcoholic Beverages,1,Iced Tea,SOFMC TacoTacoTaco
2024-11-30,19:52:59,NA Bev PST Exempt,Non-Alcoholic Beverages,1,Lemonade,SOFMC TacoTacoTaco
2024-11-30,19:52:43,"Wine, Cider & Coolers",Cider & Coolers,1,Ward's Cider,SOFMC ReMax Fan Deck
2024-11-30,19:52:15,Snacks,Popcorn,1,Regular,SOFMC TacoTacoTaco
2024-11-30,19:52:15,Sweets,Churro,2,Regular,SOFMC TacoTacoTaco
2024-11-30,19:52:10,Beer,Draught Beer,1,Blue Buck 24oz,SOFMC Phillips Bar
2024-11-30,19:52:07,Sweets,Churro,1,Regular,SOFMC Island Canteen
2024-11-30,19:51:34,"Wine, Cider & Coolers",Cider & Coolers,1,Ole Margarita,SOFMC ReMax Fan Deck
2024-11-30,19:51:30,Beer,Draught Beer,1,Blue Buck 24oz,SOFMC Phillips Bar
2024-11-30,19:51:17,NA Bev PST Exempt,Non-Alcoholic Beverages,2,Iced Tea,SOFMC Island Slice
2024-11-30,19:51:15,Sweets,Gummies,2,Regular,SOFMC Portable Stations
2024-11-30,19:51:11,Beer,Cans of Beer,1,PHILLIPS Free Ride IPA,SOFMC Phillips Bar
2024-11-30,19:51:03,NA Bev PST Exempt,Hot Drinks,2,Hot Chocolate,SOFMC Island Canteen
2024-11-30,19:50:57,Beer,Draught Beer,2,Stanley Park Pale Ale 24oz,SOFMC Portable Stations
2024-11-30,19:50:56,Food,COMBOS,1,Tenders & Fries,SOFMC Island Canteen
2024-11-30,19:50:56,NA Bev,Bottle Pop,1,Dr. Pepper,SOFMC Island Canteen
2024-11-30,19:50:56,Sweets,Candy,1,Twix 86g,SOFMC Island Canteen
2024-11-30,19:50:50,"Wine, Cider & Coolers",Cider & Coolers,1,Mike's Hard Lemonade,SOFMC Island Canteen
2024-11-30,19:50:43,NA Bev PST Exempt,Hot Drinks,1,Coffee,SOFMC Island Canteen
2024-11-30,19:50:41,NA Bev PST Exempt,Hot Drinks,1,Hot Chocolate,SOFMC Island Canteen
2024-11-30,19:50:36,Beer,Cans of Beer,2,Stanley Park Amber,SOFMC Portable Stations
2024-11-30,19:50:35,Sweets,Candy,1,Twix 86g,SOFMC TacoTacoTaco
2024-11-30,19:50:35,Sweets,Candy,1,Kit Kat 73g,SOFMC TacoTacoTaco
2024-11-30,19:50:33,NA Bev,Bottle Pop,1,Diet Pepsi,SOFMC Island Canteen
2024-11-30,19:50:33,Food,Hot Dog,1,,SOFMC Island Canteen
2024-11-30,19:50:14,"Wine, Cider & Coolers",Cider & Coolers,1,Ward's Cider,SOFMC Island Canteen
2024-11-30,19:50:06,Food,COMBOS,1,Tenders & Fries,SOFMC Island Canteen
2024-11-30,19:50:06,Beer,Cans of Beer,1,Stanley Park Amber,SOFMC Island Canteen
2024-11-30,19:50:06,"Wine, Cider & Coolers",Cider & Coolers,1,Ward's Cider,SOFMC Island Canteen
2024-11-30,19:49:53,Beer,Draught Beer,1,Stanley Park Lager 24oz,SOFMC Portable Stations
2024-11-30,19:49:53,Food,Hot Dog,1,,SOFMC Island Canteen
2024-11-30,19:49:44,Beer,Draught Beer,1,Blue Buck 24oz,SOFMC Phillips Bar
2024-11-30,19:49:41,Snacks,Pretzel,2,,SOFMC Phillips Bar
2024-11-30,19:49:40,Sweets,Churro,3,Regular,SOFMC Island Canteen
